Total Nacional	Comunidades y Ciudades Autónomas	Edad (año a año)	Españoles/Extranjeros	Sexo	Año	Total
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2020	5.057.353
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2019	5.003.769
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2018	4.963.703
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2017	4.941.509
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2016	4.959.968
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2015	4.980.689
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2014	5.004.844
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2013	5.113.815
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2012	5.129.266
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2011	5.117.190
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2010	5.111.706
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2009	5.094.675
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2008	5.029.601
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2007	4.885.029
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2006	4.806.908
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2005	4.692.449
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2004	4.543.304
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2003	4.470.885
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2002	4.326.708
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2001	4.202.608
Total Nacional	10 Comunitat Valenciana	TOTAL EDADES	TOTAL	Ambos sexos	2000	4.120.729
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2022	1.054.776
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2021	1.059.501
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2020	1.063.987
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2019	1.067.710
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2018	1.072.863
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2017	1.079.920
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2016	1.087.778
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2015	1.092.997
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2014	1.099.632
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2013	1.104.004
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2012	1.108.130
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2011	1.109.367
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2010	1.107.220
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2009	1.102.410
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2008	1.097.744
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2007	1.089.990
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2006	1.086.373
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2005	1.083.879
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2004	1.075.286
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2003	1.073.904
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2002	1.073.050
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2001	1.073.381
Total Nacional	11 Extremadura	TOTAL EDADES	TOTAL	Ambos sexos	2000	1.069.420
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2022	2.690.464
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2021	2.695.645
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2020	2.701.819
Total Nacional	12 Galicia	TOTAL EDADES	TOTAL	Ambos sexos	2019	2.699.499
