Total Nacional;Comunidades y Ciudades Autónomas;Tipo de captación;periodo;Total
Total Nacional;05 Canarias;Desalación;2009;69.694
Total Nacional;05 Canarias;Desalación;2008;69.589
Total Nacional;05 Canarias;Desalación;2007;84.500
Total Nacional;05 Canarias;Desalación;2006;66.991
Total Nacional;05 Canarias;Desalación;2005;71.941
Total Nacional;05 Canarias;Desalación;2004;78.051
Total Nacional;05 Canarias;Desalación;2003;70.816
Total Nacional;05 Canarias;Desalación;2002;86.031
Total Nacional;05 Canarias;Desalación;2001;72.802
Total Nacional;05 Canarias;Desalación;2000;76.835
Total Nacional;06 Cantabria;Total;2022;15.079
Total Nacional;06 Cantabria;Total;2020;41.199
Total Nacional;06 Cantabria;Total;2018;35.157
Total Nacional;06 Cantabria;Total;2016;38.358
Total Nacional;06 Cantabria;Total;2014;41.724
Total Nacional;06 Cantabria;Total;2013;40.043
Total Nacional;06 Cantabria;Total;2012;43.030
Total Nacional;06 Cantabria;Total;2011;42.131
Total Nacional;06 Cantabria;Total;2010;45.382
Total Nacional;06 Cantabria;Total;2009;50.832
Total Nacional;06 Cantabria;Total;2008;28.945
Total Nacional;06 Cantabria;Total;2007;41.944
Total Nacional;06 Cantabria;Total;2006;25.109
Total Nacional;06 Cantabria;Total;2005;65.710
Total Nacional;06 Cantabria;Total;2004;63.672
Total Nacional;06 Cantabria;Total;2003;80.176
Total Nacional;06 Cantabria;Total;2002;78.256
Total Nacional;06 Cantabria;Total;2001;76.922
Total Nacional;06 Cantabria;Total;2000;76.781
Total Nacional;06 Cantabria;Aguas superficiales;2022;11.794
Total Nacional;06 Cantabria;Aguas superficiales;2020;24.719
Total Nacional;06 Cantabria;Aguas superficiales;2018;16.898
Total Nacional;06 Cantabria;Aguas superficiales;2016;16.767
Total Nacional;06 Cantabria;Aguas superficiales;2014;36.222
Total Nacional;06 Cantabria;Aguas superficiales;2013;14.659
Total Nacional;06 Cantabria;Aguas superficiales;2012;16.445
Total Nacional;06 Cantabria;Aguas superficiales;2011;14.336
Total Nacional;06 Cantabria;Aguas superficiales;2010;8.981
Total Nacional;06 Cantabria;Aguas superficiales;2009;5.127
Total Nacional;06 Cantabria;Aguas superficiales;2008;23.662
Total Nacional;06 Cantabria;Aguas superficiales;2007;35.384
